sourcedId,status,dateLastModified,title,type,startDate,endDate,parentSourcedId,schoolYear
AS701.2024.0.1,,,Quarter 1,gradingPeriod,2023-08-22,2023-10-26,AS7012024,2024
AS701.2024.0.2,,,Quarter 2 ,gradingPeriod,2023-10-26,2024-01-13,AS7012024,2024
AS701.2024.0.3,,,Quarter 3,gradingPeriod,2024-01-13,2024-03-20,AS7012024,2024
AS701.2024.0.4,,,Quarter 4,gradingPeriod,2024-03-20,2024-05-25,AS7012024,2024
AS7012024,,,2024 School Year,schoolYear,2023-08-22,2024-05-25,,2024
AS7012024110,,,Qtr 1,term,2023-08-23,2023-10-26,AS7012024,2024
AS7012024120,,,Qtr 2,term,2023-10-26,2024-01-13,AS7012024,2024
AS7012024230,,,Qtr 3,term,2024-01-13,2024-03-20,AS7012024,2024
AS7012024240,,,Qtr 4,term,2024-03-20,2024-05-25,AS7012024,2024
AS702.2024.0.1,,,Quarter 1,gradingPeriod,2023-08-23,2023-10-27,AS7022024,2024
AS702.2024.0.2,,,Quarter 2,gradingPeriod,2023-10-27,2024-01-14,AS7022024,2024
AS702.2024.0.3,,,Quarter 3,gradingPeriod,2024-01-17,2024-03-22,AS7022024,2024
AS702.2024.0.4,,,Quarter 4,gradingPeriod,2024-03-22,2024-05-27,AS7022024,2024
AS7022024,,,2024 School Year,schoolYear,2023-08-22,2024-05-27,,2024
AS7022024110,,,Qtr 1,term,2023-08-22,2023-10-26,AS7022024,2024
AS7022024120,,,Qtr 2,term,2023-10-26,2024-01-13,AS7022024,2024
AS7022024230,,,Qtr 3,term,2024-01-16,2024-03-20,AS7022024,2024
AS7022024240,,,Qtr 4,term,2024-03-20,2024-05-25,AS7022024,2024
AS703.2024.0.1,,,Quarter 1,gradingPeriod,2023-08-23,2023-10-27,AS7032024,2024
AS703.2024.0.2,,,Quarter 2,gradingPeriod,2023-10-27,2024-01-14,AS7032024,2024
AS703.2024.0.3,,,Quarter 3,gradingPeriod,2024-01-17,2024-03-22,AS7032024,2024
AS703.2024.0.4,,,Quarter 4,gradingPeriod,2024-03-22,2024-05-27,AS7032024,2024
AS7032024,,,2024 School Year,schoolYear,2023-08-22,2024-05-27,,2024
AS7032024110,,,Qtr 1,term,2023-08-22,2023-10-26,AS7032024,2024
AS7032024120,,,Qtr 2,term,2023-10-26,2024-01-13,AS7032024,2024
AS7032024230,,,Qtr 3,term,2024-01-15,2024-03-20,AS7032024,2024
AS7032024240,,,Qtr 4,term,2024-03-20,2024-05-25,AS7032024,2024
AS704.2024.0.1,,,Trimester 1,gradingPeriod,2023-08-22,2023-11-16,AS7042024,2024
AS704.2024.0.2,,,Trimester 2,gradingPeriod,2023-11-16,2024-02-28,AS7042024,2024
AS704.2024.0.3,,,Trimester 3,gradingPeriod,2024-02-28,2024-05-25,AS7042024,2024
AS7042024,,,2024 School Year,schoolYear,2023-08-22,2024-05-25,,2024
AS7042024110,,,Trimester 1,term,2023-08-22,2023-11-16,AS7042024,2024
AS7042024220,,,Trimester 2,term,2023-11-16,2024-02-28,AS7042024,2024
AS7042024330,,,Trimester 3,term,2024-02-28,2024-05-25,AS7042024,2024
AS705.2024.0.1,,,Trimester 1,gradingPeriod,2023-08-23,2023-11-17,AS7052024,2024
AS705.2024.0.2,,,Trimester 2,gradingPeriod,2023-11-17,2024-02-29,AS7052024,2024
AS705.2024.0.3,,,Trimester 03,gradingPeriod,2024-03-01,2024-05-27,AS7052024,2024
AS7052024,,,2024 School Year,schoolYear,2023-08-22,2024-05-27,,2024
AS7052024110,,,Term 1,term,2023-08-22,2023-11-16,AS7052024,2024
AS7052024220,,,Term 2,term,2023-11-16,2024-02-28,AS7052024,2024
AS7052024330,,,Term 3,term,2024-02-28,2024-05-25,AS7052024,2024
AS7062024,,,2024 School Year,schoolYear,2023-08-22,2024-05-25,,2024
AS7062024110,,,Term 1,term,2023-08-22,2023-10-26,AS7062024,2024
AS7062024120,,,Term 2,term,2023-10-26,2024-01-12,AS7062024,2024
AS7062024230,,,Term 3,term,2024-01-12,2024-03-20,AS7062024,2024
AS7062024240,,,Term 4,term,2024-03-20,2024-05-25,AS7062024,2024
