DistrictTermID, Name, DistrictID, DateStart, DateEnd, Code, CreatedByUserID, UpdatedByUserID, DateCreated, DateUpdated, SISID, ModifiedUser, ModifiedBy
117872,Term 4,3856,00:00.0,00:00.0,AS7062024240,4940734,NULL,00:00.0,NULL,NULL,NULL,NULL
117871,Term 3,3856,00:00.0,00:00.0,AS7052024330|AS7062024230,4940734,NULL,00:00.0,NULL,NULL,NULL,NULL
117870,Term 2,3856,00:00.0,00:00.0,AS7052024220|AS7062024120,4940734,NULL,00:00.0,NULL,NULL,NULL,NULL
117869,Term 1,3856,00:00.0,00:00.0,AS7052024110|AS7062024110,4940734,NULL,00:00.0,NULL,NULL,NULL,NULL
117868,Trimester 03,3856,00:00.0,00:00.0,AS705.2024.0.3,4940734,NULL,00:00.0,NULL,NULL,NULL,NULL
117867,Trimester 3,3856,00:00.0,00:00.0,AS704.2024.0.3|AS7042024330,4940734,NULL,00:00.0,NULL,NULL,NULL,NULL
117866,Trimester 2,3856,00:00.0,00:00.0,AS704.2024.0.2|AS7042024220|AS705.2024.0.2,4940734,NULL,00:00.0,NULL,NULL,NULL,NULL
117865,Trimester 1,3856,00:00.0,00:00.0,AS704.2024.0.1|AS7042024110|AS705.2024.0.1,4940734,NULL,00:00.0,NULL,NULL,NULL,NULL
117864,Quarter 2,3856,00:00.0,00:00.0,AS702.2024.0.2|AS703.2024.0.2,4940734,NULL,00:00.0,NULL,NULL,NULL,NULL
117863,Qtr 4,3856,00:00.0,00:00.0,AS7012024240|AS7022024240|AS7032024240,4940734,NULL,00:00.0,NULL,NULL,NULL,NULL
117862,Qtr 3,3856,00:00.0,00:00.0,AS7012024230|AS7022024230|AS7032024230,4940734,NULL,00:00.0,NULL,NULL,NULL,NULL
117861,Qtr 2,3856,00:00.0,00:00.0,AS7012024120|AS7022024120|AS7032024120,4940734,NULL,00:00.0,NULL,NULL,NULL,NULL
117860,Qtr 1,3856,00:00.0,00:00.0,AS7012024110|AS7022024110|AS7032024110,4940734,NULL,00:00.0,NULL,NULL,NULL,NULL
117859,2024 School Year,3856,00:00.0,00:00.0,AS7012024|AS7022024|AS7032024|AS7042024|AS7052024|AS7062024,4940734,NULL,00:00.0,NULL,NULL,NULL,NULL
117858,Quarter 4,3856,00:00.0,00:00.0,AS701.2024.0.4|AS702.2024.0.4|AS703.2024.0.4,4940734,NULL,00:00.0,NULL,NULL,NULL,NULL
117857,Quarter 3,3856,00:00.0,00:00.0,AS701.2024.0.3|AS702.2024.0.3|AS703.2024.0.3,4940734,NULL,00:00.0,NULL,NULL,NULL,NULL
117856,Quarter 2 ,3856,00:00.0,00:00.0,AS701.2024.0.2,4940734,NULL,00:00.0,NULL,NULL,NULL,NULL
117855,Quarter 1,3856,00:00.0,00:00.0,AS701.2024.0.1|AS702.2024.0.1|AS703.2024.0.1,4940734,NULL,00:00.0,NULL,NULL,NULL,NULL
