AS7062024240,117872,Term 4,3856
"AS7052024330,AS7062024230",117871,Term 3,3856
"AS7052024220,AS7062024120",117870,Term 2,3856
"AS7052024110,AS7062024110",117869,Term 1,3856
AS705.2024.0.3,117868,Trimester 03,3856
"AS704.2024.0.3,AS7042024330",117867,Trimester 3,3856
"AS704.2024.0.2,AS7042024220,AS705.2024.0.2",117866,Trimester 2,3856
"AS704.2024.0.1,AS7042024110,AS705.2024.0.1",117865,Trimester 1,3856
"AS702.2024.0.2,AS703.2024.0.2",117864,Quarter 2,3856
"AS7012024240,AS7022024240,AS7032024240",117863,Qtr 4,3856
"AS7012024230,AS7022024230,AS7032024230",117862,Qtr 3,3856
"AS7012024120,AS7022024120,AS7032024120",117861,Qtr 2,3856
"AS7012024110,AS7022024110,AS7032024110",117860,Qtr 1,3856
"AS7012024,AS7022024,AS7032024,AS7042024,AS7052024,AS7062024",117859,2024 School Year,3856
"AS701.2024.0.4,AS702.2024.0.4,AS703.2024.0.4",117858,Quarter 4,3856
"AS701.2024.0.3,AS702.2024.0.3,AS703.2024.0.3",117857,Quarter 3,3856
AS701.2024.0.2,117856,Quarter 2 ,3856
"AS701.2024.0.1,AS702.2024.0.1,AS703.2024.0.1",117855,Quarter 1,3856
