Title,DistrictID,DateStart,DateEnd,SourceIds,CreatedByUserID,DateCreated
Quarter 1,3856,2023-08-22,2023-10-26,AS701.2024.0.1|AS702.2024.0.1|AS703.2024.0.1,4940734,2023-08-14
Quarter 2 ,3856,2023-10-26,2024-01-13,AS701.2024.0.2,4940734,2023-08-14
Quarter 3,3856,2024-01-13,2024-03-20,AS701.2024.0.3|AS702.2024.0.3|AS703.2024.0.3,4940734,2023-08-14
Quarter 4,3856,2024-03-20,2024-05-25,AS701.2024.0.4|AS702.2024.0.4|AS703.2024.0.4,4940734,2023-08-14
2024 School Year,3856,2023-08-22,2024-05-25,AS7012024|AS7022024|AS7032024|AS7042024|AS7052024|AS7062024,4940734,2023-08-14
Qtr 1,3856,2023-08-23,2023-10-26,AS7012024110|AS7022024110|AS7032024110,4940734,2023-08-14
Qtr 2,3856,2023-10-26,2024-01-13,AS7012024120|AS7022024120|AS7032024120,4940734,2023-08-14
Qtr 3,3856,2024-01-13,2024-03-20,AS7012024230|AS7022024230|AS7032024230,4940734,2023-08-14
Qtr 4,3856,2024-03-20,2024-05-25,AS7012024240|AS7022024240|AS7032024240,4940734,2023-08-14
Quarter 2,3856,2023-10-27,2024-01-14,AS702.2024.0.2|AS703.2024.0.2,4940734,2023-08-14
Trimester 1,3856,2023-08-22,2023-11-16,AS704.2024.0.1|AS7042024110|AS705.2024.0.1,4940734,2023-08-14
Trimester 2,3856,2023-11-16,2024-02-28,AS704.2024.0.2|AS7042024220|AS705.2024.0.2,4940734,2023-08-14
Trimester 3,3856,2024-02-28,2024-05-25,AS704.2024.0.3|AS7042024330,4940734,2023-08-14
Trimester 03,3856,2024-03-01,2024-05-27,AS705.2024.0.3,4940734,2023-08-14
Term 1,3856,2023-08-22,2023-11-16,AS7052024110|AS7062024110,4940734,2023-08-14
Term 2,3856,2023-11-16,2024-02-28,AS7052024220|AS7062024120,4940734,2023-08-14
Term 3,3856,2024-02-28,2024-05-25,AS7052024330|AS7062024230,4940734,2023-08-14
Term 4,3856,2024-03-20,2024-05-25,AS7062024240,4940734,2023-08-14
