Email Domain,Label
21cccs.org,21st Century
bensalemsd.org,Bensalem
bcit.cc,Burlington County Institute of Technology
cgsd.org,Central Greene
ctasd.org,Conemaugh Township
cranburyschool.org,Cranbury
dasd.us,Derry Area
dunmoreschooldistrict.net,Dunmore
elcosd.org,Eastern Lebanon County
easternyork.net,Eastern York
epps.org,Elmwood Park
fhrangers.org,Forest Hills
franklinschool.org,Franklin Township
freeholdboro.k12.nj.us,Freehold Borough
gmrsd.com,Great Meadows Regional
greaterbrunswick.org,Greater Brunswick
gjsd.net,Greater Johnstown Area SD
hainesport.k12.nj.us,Hainesport Township
kenilworthschools.com,Kenilworth
ltsd.org,Lackawanna Trail
middlesex.k12.nj.us,Middlesex
mv.org,Morrisville
navikings.org,North Arlington
paramusschools.org,Paramus
pennsmanor.org,Penns Manor
pasteam.org,Pennsylvania STEAM
pittstonarea.com,Pittston Area
punxsy.k12.pa.us,Punxsutawney Area
roselandnjboe.org,Roseland
sbpsnj.org,Saddle Brook
sayrevillek12.net,Sayreville
shmemorial.org,South Hackensack
spring-ford.net,Spring-Ford
tabschools.org,Tabernacle
shsd.org,Somerset
